method,total,valid,invalid_rate,binary_accuracy,positive_accept,false_alarm_rate,negative_reject,miss_rate,error_field_overlap_norm
V1_OCR_text_chartdisplay_v2,400,400,0.0,0.49,0.695,0.305,0.285,0.715,0.165
V2_direct_image_policyv3_chartdisplay_v2,400,400,0.0,0.5675,0.405,0.595,0.73,0.27,0.25
V3_C4_group1v2_neutralized,400,400,0.0,0.5,0.0,1.0,1.0,0.0,0.415
V3_D_SFT_group1v2_neutralized,400,370,0.075,0.4825,0.03804347826086957,0.9619565217391305,1.0,0.0,0.8118279569892473
V4_C4_tolerant_chartdisplay_v2,400,400,0.0,0.505,0.615,0.385,0.395,0.605,0.2
V4_D_SFT_tolerant_chartdisplay_v2,400,370,0.075,0.52,0.5760869565217391,0.42391304347826086,0.5483870967741935,0.45161290322580644,0.4838709677419355
