method_a,method_b,delta_definition,point_delta,ci_lower,ci_upper,bootstrap_samples
C1_GPT54,C2_GPT54_batched_leg,method_a - method_b,-0.16855873642645608,-0.19251955241733984,-0.14468490905265388,10000
C1_GPT54,C3_GPT54,method_a - method_b,-0.0041954590325765095,-0.019912772416889022,0.01161655788935711,10000
C1_GPT54,C4_GPT54,method_a - method_b,-0.1372161895360316,-0.15801204389413043,-0.1163594352349208,10000
C2_GPT54_batched_leg,C3_GPT54,method_a - method_b,0.16436327739387957,0.14073019647027668,0.18775272944151716,10000
C2_GPT54_batched_leg,C4_GPT54,method_a - method_b,0.03134254689042448,0.001682946413560004,0.06062124248496992,10000
C3_GPT54,C4_GPT54,method_a - method_b,-0.1330207305034551,-0.15411004911966059,-0.11196215171865012,10000
