method,total,valid,invalid_rate,binary_accuracy,positive_accept,false_alarm,negative_reject,miss_rate,error_field_overlap_norm,parse_ok,parse_fail
V3_D_SFT_pre_D1_group1v2_neutralized,400,370,0.075,0.4825,0.03804347826086957,0.9619565217391305,1.0,0.0,0.8118279569892473,370,30
V3_D1_SFT_group1v2_neutralized,400,400,0.0,0.52,0.04,0.96,1.0,0.0,0.815,400,0
V4_D_SFT_pre_D1_tolerant,400,370,0.075,0.52,0.5760869565217391,0.42391304347826086,0.5483870967741935,0.45161290322580644,0.4838709677419355,370,30
V4_D1_SFT_tolerant,400,400,0.0,0.5575,0.575,0.425,0.54,0.46,0.475,400,0
