method,charts,correct,total,accuracy
A1,200,1184,4052,0.29220138203356366
A2,200,916,4052,0.22606120434353405
B1,200,1110,4052,0.27393879565646595
B1_prime,200,1308,4052,0.3228035538005923
B1_prime_link,200,718,3683,0.19494976920988324
C1,200,1596,4052,0.39387956564659427
C2,200,1074,4052,0.2650542941757157
C3,200,1593,3976,0.40065392354124746
C4,200,1638,4052,0.40424481737413626
D_SFT,200,2910,3724,0.7814178302900108
